study_id,site_id,latitude,longitude,sampling_year,sampling_start_month,sampling_end_month,old_site_id,year_copernicus
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_181,-9.30639643322293,-40.2751224616872,2005,3,6,117,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_182,-9.29626913528313,-40.2596463120827,2005,3,6,129,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_183,-9.27434794777951,-40.2803681243288,2005,3,6,149,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_184,-9.273109505752,-40.2675468321368,2005,3,6,155,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_185,-9.26361952562276,-40.2914525739705,2005,3,6,163,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_186,-9.30921674913039,-40.2601569370995,2005,3,6,176,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_187,-9.32050255174681,-40.2651773366155,2005,3,6,185,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_188,-9.34610252206672,-40.2829237284391,2005,3,6,229,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_189,-9.33445368189837,-40.2478289348787,2005,3,6,240,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_190,-9.34254730215258,-40.2554692781556,2005,3,6,245,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_191,-9.29171538455523,-40.3039266730673,2005,3,6,315,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_192,-4.10378340386198,-38.3881488658494,2011,1,12,CA1,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_193,-4.11036081944337,-38.3891006387568,2011,1,12,CA2,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_194,-4.11385062537106,-38.3899277376575,2011,1,12,CA3,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_195,-4.09072626592055,-38.412743600952,2011,1,12,CA4,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_196,-4.09686143546379,-38.4126301194546,2011,1,12,CA5,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_197,-4.1009420104133,-38.3917772118165,2011,1,12,CA6,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_198,-4.11186334231027,-38.3925500480251,2011,1,12,CA7,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_199,-4.09560572504662,-38.4149959324957,2011,1,12,CA8,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_200,-4.10059241594882,-38.4304520999432,2011,1,12,CA9,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,Plot_201,-4.10355813145356,-38.4321473421995,2011,1,12,CA10,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_202,-4.103783403862,-38.388148865849,2012,1,12,CA1,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_203,-4.110360819443,-38.389100638757,2012,1,12,CA2,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_204,-4.113850625371,-38.389927737658,2012,1,12,CA3,2015
